apellidos_nombres,dni,fecha_nacimiento,genero,telefono,correo,area,puesto,contrato,sede,fecha_ingreso,modalidad,fila,identificador,motivo
"Ríos Carrasco, Luis",48376941,1981-12-24,No binario,920576383,luis.rios@gruponova.com,Servicio al Cliente,Especialista en Logística,Part-time,Trujillo,2025-07-16,Híbrido,3,"DNI 48376941 - Ríos Carrasco, Luis","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: No binario; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Herrera Martínez, Alejandro",51484920,1988-12-17,No binario,942857966,alejandro.herrera@gruponova.com,Tecnología e Innovación,Gerente de Área,Practicante Preprofesional,Arequipa,2026-12-06,Híbrido,5,"DNI 51484920 - Herrera Martínez, Alejandro","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: No binario; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Díaz Cabrera, Gustavo",73119287,1969-01-29,No binario,916323852,gustavo.diaz@gruponova.com,Finanzas y Contabilidad,Analista de RRHH,Part-time,Lima - La Molina,2026-03-09,Híbrido,8,"DNI 73119287 - Díaz Cabrera, Gustavo","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: No binario; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Ríos García, Alberto",57675739,1987-06-16,Prefiero no indicar,933978249,alberto.rios@gruponova.com,Servicio al Cliente,Analista de Datos,Part-time,Arequipa,2026-06-04,Híbrido,10,"DNI 57675739 - Ríos García, Alberto","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: Prefiero no indicar; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Reyes Delgado, Cecilia",54213536,1989-03-11,No binario,936998038,cecilia.reyes@gruponova.com,Comercial y Ventas,Coordinador de Proyectos,Part-time,Trujillo,2026-06-14,Remoto,13,"DNI 54213536 - Reyes Delgado, Cecilia","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: No binario; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Chávez Castillo, Andrés",44296705,1980-03-02,Prefiero no indicar,912823170,andres.chavez@gruponova.com,Gerencia General,Practicante Profesional,Contrato por Servicios,Lima - Callao,2025-03-14,Presencial,14,"DNI 44296705 - Chávez Castillo, Andrés","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: Prefiero no indicar; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Bravo Cárdenas, Roberto",52778193,1969-03-26,Prefiero no indicar,923009833,roberto.bravo@gruponova.com,Legal y Cumplimiento,Coordinador Comercial,Practicante Preprofesional,Cusco,2025-02-25,Remoto,16,"DNI 52778193 - Bravo Cárdenas, Roberto","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: Prefiero no indicar; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Martínez Vásquez, Roberto",76931706,1969-05-24,Prefiero no indicar,916789850,roberto.martinez@gruponova.com,Servicio al Cliente,Analista Jr.,Planilla Fija,Lima - Callao,2026-02-21,Presencial,18,"DNI 76931706 - Martínez Vásquez, Roberto","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: Prefiero no indicar; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Rojas Salazar, Verónica",43934955,1972-05-21,Prefiero no indicar,960864911,veronica.rojas@gruponova.com,Recursos Humanos,Coordinador de Proyectos,Practicante Profesional,Piura,2026-03-10,Remoto,19,"DNI 43934955 - Rojas Salazar, Verónica","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: Prefiero no indicar; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Vargas Medina, Eduardo",54609659,1967-08-17,Prefiero no indicar,987736262,eduardo.vargas@gruponova.com,Servicio al Cliente,Analista,Part-time,Trujillo,2025-02-21,Presencial,20,"DNI 54609659 - Vargas Medina, Eduardo","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: Prefiero no indicar; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Espinoza Ramírez, Elena",43817123,1987-10-13,Prefiero no indicar,920752378,elena.espinoza@gruponova.com,Tecnología e Innovación,Analista Sr.,Contrato a Plazo Fijo,Lima - Miraflores,2025-08-29,Híbrido,21,"DNI 43817123 - Espinoza Ramírez, Elena","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: Prefiero no indicar; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
